row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
61,633.0738,3.5159,8687.534963,9975.421468,22255.214,11150.64669,482.2921345,629.5708474,99.19,10960.77021,46464.73134,18.648,29160.46472,35.121,167044.3986,872.8011414,47.948
62,129.0161,1.4023,17774.64909,6088.977341,2493.920923,3284.481867,3982.580992,2642.1965,3161.857518,2373.035491,4425.167881,6254.764446,4485.047961,2711.117979,1828.457897,4187.806546,4531.801028
63,461.2169,7.1399,8834.715889,184.855795,278.9832704,24479.62542,3591.703508,5232.644658,2551.970219,50.3805,5432.237485,5667.740378,15608.10371,4325.184161,2778.284065,5981.167304,376.0055
64,721.3655,12.5143,5602.952712,25932.81942,275.9130415,7600.165031,67168.92133,3513.420481,15276.18487,69.116,5431.152594,9521.870229,29262.63728,260.377674,19726.9117,8912.725418,8995.699481
65,523.2173,5.4668,13938.07717,325.0445,301.857,11298.64143,661.9359178,20750.80663,8277.601877,66.096,611.868,5944.273696,3042.138576,12696.52175,270.0205,5094.169303,206.3150876
66,761.3583,18.8296,8233.972852,8745.872949,67.27,10264.05121,56.32,0,0,0,0,22.155,34.65,204.3753577,77.58,0,83.4
67,111.0056,1.6734,7397.310088,4488.405712,4932.34953,6184.965113,11129.99378,2200.360597,6839.013916,7138.522416,777.4007502,7201.524525,5021.568663,3160.251274,2293.835886,4974.409967,13402.13751
68,567.2077,5.369,10236.63723,842.9429465,281.4812688,8481.773014,4631.922734,17079.73857,5842.390078,236.9568892,1721.560671,9379.131129,7540.013065,3053.742111,794.3994572,2442.538017,171.086
69,603.4057,18.6511,8536.446445,474.1427069,176.445,3201.338413,5284.854873,29983.38794,68768.53937,144.2781702,1304.610797,56504.21797,1180.612938,39945.16726,371.015,18453.51449,423.5410651
70,627.2081,6.5904,8079.327637,24.2295,51.84,13749.53693,77.235,217.9575,111.733673,39.072,592.193,357.4199417,119.6705,94.371,968.5359736,254.7495234,50.127
71,491.1897,5.2373,11618.67958,57.4035,37.686,7970.213911,2629.508007,35740.32816,22766.64097,118.9690444,3598.415475,42439.6665,2737.751731,21901.15467,1841.506881,12173.772,202.432
72,723.3826,13.5063,8113.67543,10284.02622,331.7384865,11656.58279,32508.00127,8313.98182,28274.27952,0,1010.466849,23530.21411,10204.07332,3479.335268,16085.50377,10174.30679,1115.19903
73,317.0466,1.4055,14595.70081,5463.679163,1032.406305,3032.527651,4472.747147,1729.203483,2349.818534,1413.471,2722.546794,4559.967435,2090.045786,469.28215,271.5677773,4835.264,4264.999487
