"shared name","IDs","cor"," p_value","Af-T","Af-L","Af-F","Af-B","Ah-L","Ahv-T","Ah-T","Ah-F","Ahv-F","Ahv-T.1","Ahv-L","Aj-B","Aj-L","Aj-T","Aj-F"
"100","749.3584_16.1067","-0.302173027703094","0.273680594838685","2.794915e-04","1.062961e-02","4.502548e-05","8.765055e-05","1.565374e-05","1.626212e-07","3.588456e-06","5.256262e-07","7.213060e-06","1.830873e-07","1.040029e-04","1.011833e-05","1.980547e-05","1.609595e-07","1.807972e-07"
"101","267.0693_0.824","-0.213341226553763","0.445201521307017","0.0022322552","0.0044296432","0.0008246101","0.0015714835","0.0029323528","0.0016018583","0.0030136575","0.0007365978","0.0012282370","0.0029023416","0.0022545319","0.0014858298","0.0065497402","0.0019607751","0.0013106493"
"102","415.1962_5.4908","-0.259767849399659","0.349795605120551","7.295728e-04","6.321704e-03","9.672272e-05","4.009124e-04","1.888486e-03","4.062495e-04","6.705829e-04","2.352939e-05","1.963420e-04","8.458815e-04","1.035293e-03","3.597826e-04","1.245112e-03","3.069316e-04","2.857911e-04"
"103","791.3674_18.2083","-0.37997885191066","0.162400314214449","5.292305e-04","3.645954e-03","8.758656e-05","3.247802e-04","2.572132e-07","1.626212e-07","8.427302e-06","5.256262e-07","6.913998e-06","1.048724e-05","1.371408e-04","2.140122e-05","5.275023e-05","1.609595e-07","6.754583e-06"
"104","461.1078_6.8629","-0.341074912928182","0.213461702577152","4.422455e-04","7.568975e-03","1.064853e-04","7.019042e-04","1.313588e-05","1.068893e-05","1.199642e-05","2.145212e-05","3.577001e-05","6.290880e-06","8.596476e-06","2.182555e-07","4.085339e-05","3.319479e-05","2.038054e-05"
"105","289.0685_3.1244","-0.504464053444643","0.0551519517665201","1.864603e-03","6.826130e-03","5.246747e-07","6.208480e-03","2.572132e-07","1.626212e-07","9.341261e-06","8.402134e-06","8.179944e-06","3.610848e-06","2.868456e-07","1.105792e-05","9.266416e-06","1.609595e-07","1.807972e-07"
"106","413.1427_4.9719","0.151234846206542","0.590558569606046","0.0004672929","0.0021906665","0.0002931411","0.0003613581","0.0054496434","0.0003185481","0.0008563797","0.0001070466","0.0009053897","0.0008898913","0.0012892764","0.0004657090","0.0022043843","0.0004603678","0.0025005961"
"107","216.8507_26.0825","0.142381802939679","0.612720309681604","6.502896e-03","4.728851e-03","5.803770e-04","4.528374e-03","3.536984e-03","5.631603e-03","2.960969e-06","1.668002e-02","4.046182e-03","2.120409e-03","6.664415e-03","6.845691e-03","7.222017e-03","3.693105e-03","3.278853e-03"
"108","515.08_5.2973","-0.277879390228135","0.315963329996516","2.159440e-05","7.760665e-03","2.685967e-05","5.758638e-05","2.566373e-03","4.939945e-05","6.206337e-05","4.571160e-05","1.295935e-05","5.547938e-05","3.243611e-03","3.792308e-05","2.513460e-03","1.201564e-03","5.341833e-05"
"109","661.4324_19.1501","-0.55143781037261","0.0330993854848143","4.529638e-03","2.992315e-03","6.085177e-05","2.702710e-03","2.572132e-07","9.514968e-06","1.124251e-05","3.330893e-05","7.251114e-06","5.046801e-06","3.900383e-05","2.989448e-04","5.571745e-05","1.011148e-05","8.924149e-06"
