cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
394	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
423	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
424	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
427	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
433	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
434	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
438	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
446	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
466	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
469	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
472	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
477	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
478	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
479	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
488	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
491	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
493	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
499	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
510	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
512	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
515	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
516	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
527	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
10	S5	1	no matches		no matches		no matches		no matches		no matches		no matches	
11	18	4	Organic compounds	1.0	Organoheterocyclic compounds	0.35	Carboxylic acids and derivatives	0.3333333333333333	Amino acids, peptides, and analogues	0.3333333333333333	Peptides	0.125	Aliphatic acyclic compounds	0.3625
266	18	4	Organic compounds	1.0	Organoheterocyclic compounds	0.35	Carboxylic acids and derivatives	0.3333333333333333	Amino acids, peptides, and analogues	0.3333333333333333	Peptides	0.125	Aliphatic acyclic compounds	0.3625
341	18	4	Organic compounds	1.0	Organoheterocyclic compounds	0.35	Carboxylic acids and derivatives	0.3333333333333333	Amino acids, peptides, and analogues	0.3333333333333333	Peptides	0.125	Aliphatic acyclic compounds	0.3625
425	18	4	Organic compounds	1.0	Organoheterocyclic compounds	0.35	Carboxylic acids and derivatives	0.3333333333333333	Amino acids, peptides, and analogues	0.3333333333333333	Peptides	0.125	Aliphatic acyclic compounds	0.3625
13	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
22	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
84	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
91	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
94	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
109	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
121	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
129	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
135	21	9	Organic compounds	1.0	Lipids and lipid-like molecules	0.8419753086419752	Prenol lipids	0.5345679012345679	Triterpenoids	0.29876543209876544	Triterpenoids	0.29876543209876544	Aliphatic heteropolycyclic compounds	0.6864197530864199
14	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
19	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
41	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
69	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
77	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
190	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
216	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
228	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
255	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
272	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
281	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
282	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
312	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
389	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
391	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
393	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
480	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
482	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
494	4	19	Organic compounds	0.8947368421052632	Lipids and lipid-like molecules	0.6140350877192983	Prenol lipids	0.5252923976608187	Triterpenoids	0.4168964076858813	Triterpenoids	0.4168964076858813	Aromatic homopolycyclic compounds	0.3951754385964912
15	S6	1	no matches		no matches		no matches		no matches		no matches		no matches	
