,SMILES
106,CCCCn1c2ccccc2c(c(C(=Nc2nnc(CC)s2)O)c1=O)O
107,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O)(COC(=O)/C=C/c3cc(c(cc3)O)O)C)C)CC=C1[C@H]1[C@@](CC2)(CCC(C1)(C)C)CO)C)C
108,Cc1cc(c(cc1OC(=O)C(F)(F)F)C)OC(=O)C(F)(F)F
109,[C@]12([C@@]([C@@]3([C@@H](CC2=O)C([C@H](CC3)OC(=O)/C=C/c2cc(c(cc2)O)O)(C)C)C)(CC[C@H]2[C@]1(CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C)C)O)C
110,c1c(cc(c(c1O)O)O)C(=O)OC[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O)O)OC(=O)c1cc(c(c(c1)O)O)O)O
111,c1(c(c2cc(c(cc2)O)O)oc2c(c1=O)c(cc(c2)O)O)O[C@H]1[C@@H]([C@H](O[C@@H]([C@@H]1O)C)O)O
112,CC(=O)C1C(C=O)C2(C)C(CC1O)C1(C)CCC3C(C)(C)CCCC3(CO)C1CC2=O
113,[C@]123[C@]([C@@H]([C@@H]([C@H]([C@H]1OC(=O)C)C(O2)(C)C)OC(=O)c1ccccc1)OC(=O)C)([C@H]([C@H](C[C@H]3C)OC(=O)c1ccccc1)O)COC(=O)C
114,[C@@]123[C@](C2)([C@@H]([C@H](C[C@H]1[C@]1([C@](CC3)([C@H](CC1)[C@@H](CC[C@H](C(=C)C)OO)C)C)C)O)C=C)CCC(=O)OC
115,[C@]123[C@]([C@@H]([C@@H]([C@H]([C@H]1OC(=O)C)C(O2)(C)C)O)OC(=O)c1ccccc1)([C@H]([C@H](C[C@H]3C)O)O)C
116,CC(C)c1cc2c(c(c1)O)[C@]1([C@@H](C[C@@H]([C@@]([C@@H]1[C@@H]([C@@H]2O)OC(=O)C)(C)C(=O)OC)O)OC(=O)C)C
117,[C@@]12([C@]3([C@@H]([C@@]4([C@@H]([C@H](C3)O)C([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC[C@@H]1[C@@H]1[C@@](CC2)(CC[C@H]1C(=C)C)C)C)C
118,[C@]123[C@](C2)([C@@H](CC3)[C@H]2[C@H](O[C@H](C2)[C@@H]([C@](CO)(O)C)O)OC)CC[C@H]2[C@]1([C@@H](C[C@@H]1[C@@]2(CC[C@@H](C1(C)C)OC(=O)CC(C)C)C)O)C
119,c12c(oc(cc1=O)c1c(cc(c(c1)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)O)cc(cc2O)O
120,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC[C@@H]1[C@@H]1[C@@]([C@H](C2)O)(CC[C@H]1C(=C)C)C)C)C
121,CN1C(=NC2C3C(CC12OC)n1c(ccc1Br)C(=O)N3)O
122,CCCCCCCCCC/C=C/CCCCCCCC(=O)OC1CC(C)(C)C2(CC(=O)/C(=C\C=C\C(=C\C=C\C=C(\C)/C=C/C=C(/C)\C=C=C3C(C)(C)CC(CC3(C)O)O)\C)/C)C(C)(C1)O2
123,CC(C)C(=C)CCC(CO)C1CCC2(C)C3CCC4C(C)(C(CC(C54CC35CCC12C)O)O)C(=O)O
124,COc1c(=O)c2c(cc(cc2oc1c1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O
125,c1(c2c(n(c1)O)cccc2)C(=O)C(=O)NCCCCNC(=N)/C(=N\O)/N
126,Cc1cn(C2C(C(C(COC(=O)c3ccccc3)O2)O)O)c(=O)nc1O
127,C/C(=C\C/C=C/C(C)(CC/C=C(\C)/CCC=C(CO)CO)O)/CC/C=C(\C)/CCC=C(CO)CO
128,CC1=C2C(/C(=C(/C)\C(CC(/C(=C\C(C(CC1OC(=O)C)C2(C)C)OC(=O)C)/COC(=O)C)O)OC(=O)C)/O)OC(=O)C
129,[C@@]1(O[C@@H]([C@H]([C@@H](C1)OC(=O)C)C)C(C)C)([C@H]([C@H]([C@H]([C@@H]1OC(=O)/C(=C/C(=C/[C@H]([C@H]([C@H](C/C(=C/C=C/[C@H]1OC)/C)C)O)C)/C)/OC)C)O)C)OC
130,c12c3c(c4c(C(=O)O[C@H]([C@H](OC3=O)[C@@H]2O)[C@@H]2OC(=O)c3c(c5c(c(c(c(c5)C(=O)OC[C@H]2O)O)Oc2c(cc(c(c2O)O)O)C(=O)O)O)c(c(c(c3)O)O)O)cc(c(c4O)O)O)c(c(c1O)O)O
131,CC1(C)C2CC=C3CC4(C)CCC5C(C)(CCC(C5(C)CO)OC(=O)/C=C/c5ccc(cc5)O)C4CCC3C2(C)CCC1O
132,C/C=C(\CO)/C(=O)OC/C=C(\CO)/C(=O)OC1CC2(C)C(CCC(=C)C2C2C1C(=C)C(=O)O2)O
