RT,BPI,TIC,Species,Parts
5.994,1662,95288,Alnus_firma,barks
6.007,2268,91658,Alnus_firma,barks
6.021,1847,91810,Alnus_firma,barks
6.04,1962,86853,Alnus_firma,barks
6.053,1393,85083,Alnus_firma,barks
6.057,1768,93879,Alnus_firma,barks
6.071,1717,89279,Alnus_firma,barks
6.084,1659,87183,Alnus_firma,barks
6.098,1768,84683,Alnus_firma,barks
6.111,1957,80519,Alnus_firma,barks
6.125,2081,81009,Alnus_firma,barks
6.144,1678,84099,Alnus_firma,barks
6.158,1817,91137,Alnus_firma,barks
6.181,4219,100727,Alnus_firma,barks
6.215,3945,92236,Alnus_firma,barks
6.244,2360,81631,Alnus_firma,barks
6.258,1973,89951,Alnus_firma,barks
6.271,2573,86557,Alnus_firma,barks
6.295,2552,92031,Alnus_firma,barks
6.334,1910,91841,Alnus_firma,barks
6.358,2240,85374,Alnus_firma,barks
6.381,2135,81619,Alnus_firma,barks
6.405,6878,97919,Alnus_firma,barks
6.434,10213,101227,Alnus_firma,barks
6.458,5177,89747,Alnus_firma,barks
6.481,1655,80673,Alnus_firma,barks
6.495,1536,77079,Alnus_firma,barks
6.508,2535,79942,Alnus_firma,barks
6.538,5466,98462,Alnus_firma,barks
6.571,9071,103557,Alnus_firma,barks
6.611,4961,119707,Alnus_firma,barks
6.644,3406,100641,Alnus_firma,barks
6.678,2954,95275,Alnus_firma,barks
6.717,5923,95209,Alnus_firma,barks
6.751,1746,82762,Alnus_firma,barks
6.764,2022,78359,Alnus_firma,barks
6.778,1851,78509,Alnus_firma,barks
6.791,2198,85267,Alnus_firma,barks
6.821,4666,100647,Alnus_firma,barks
6.854,2541,91155,Alnus_firma,barks
6.894,2759,102936,Alnus_firma,barks
6.917,4634,90296,Alnus_firma,barks
6.941,2904,83272,Alnus_firma,barks
6.964,1895,79097,Alnus_firma,barks
6.978,1964,73331,Alnus_firma,barks
6.997,1793,76985,Alnus_firma,barks
7.021,1564,69474,Alnus_firma,barks
7.034,1782,78075,Alnus_firma,barks
7.048,1889,77919,Alnus_firma,barks
7.061,3950,89821,Alnus_firma,barks
7.101,6671,90042,Alnus_firma,barks
7.134,32741,176201,Alnus_firma,barks
7.168,39792,173068,Alnus_firma,barks
7.207,59952,180234,Alnus_firma,barks
7.241,18624,108978,Alnus_firma,barks
7.264,6446,82385,Alnus_firma,barks
7.294,2155,73243,Alnus_firma,barks
7.317,1966,68046,Alnus_firma,barks
7.331,1736,72753,Alnus_firma,barks
7.344,2386,71462,Alnus_firma,barks
7.358,2091,69226,Alnus_firma,barks
7.377,2172,68957,Alnus_firma,barks
7.391,1983,74270,Alnus_firma,barks
7.404,1560,75497,Alnus_firma,barks
7.418,1812,74163,Alnus_firma,barks
7.441,1921,73656,Alnus_firma,barks
7.471,2167,71637,Alnus_firma,barks
7.484,2335,67815,Alnus_firma,barks
7.498,2739,69580,Alnus_firma,barks
7.511,2175,65668,Alnus_firma,barks
7.525,1901,74246,Alnus_firma,barks
7.538,1894,66238,Alnus_firma,barks
7.552,1784,70310,Alnus_firma,barks
7.571,2181,70833,Alnus_firma,barks
7.584,1727,73020,Alnus_firma,barks
7.598,1866,70956,Alnus_firma,barks
7.611,1965,70141,Alnus_firma,barks
7.625,1716,70755,Alnus_firma,barks
7.638,1937,71058,Alnus_firma,barks
7.652,1974,69788,Alnus_firma,barks
7.671,2205,67335,Alnus_firma,barks
7.685,1742,67678,Alnus_firma,barks
7.698,2002,65798,Alnus_firma,barks
7.712,1790,65421,Alnus_firma,barks
7.725,1809,67178,Alnus_firma,barks
7.739,2245,69571,Alnus_firma,barks
7.758,2180,81997,Alnus_firma,barks
7.772,2250,68258,Alnus_firma,barks
7.785,2591,65403,Alnus_firma,barks
7.799,2217,63634,Alnus_firma,barks
7.812,2513,66005,Alnus_firma,barks
7.825,1797,66309,Alnus_firma,barks
7.839,2175,68232,Alnus_firma,barks
7.868,4218,73253,Alnus_firma,barks
7.892,4797,76004,Alnus_firma,barks
7.915,2645,78331,Alnus_firma,barks
7.939,4788,89056,Alnus_firma,barks
7.978,2900,80881,Alnus_firma,barks
8.012,5974,80487,Alnus_firma,barks
8.051,3257,72702,Alnus_firma,barks
8.075,1631,66847,Alnus_firma,barks
8.098,2524,61535,Alnus_firma,barks
8.111,2460,63045,Alnus_firma,barks
8.125,1768,60375,Alnus_firma,barks
8.144,2072,60516,Alnus_firma,barks
8.158,1855,61663,Alnus_firma,barks
8.171,2162,60196,Alnus_firma,barks
8.185,1741,56939,Alnus_firma,barks
8.198,2158,63643,Alnus_firma,barks
8.212,2254,62671,Alnus_firma,barks
8.225,1898,63366,Alnus_firma,barks
8.245,2984,67238,Alnus_firma,barks
8.268,5621,73920,Alnus_firma,barks
8.292,3554,72179,Alnus_firma,barks
8.331,2105,76302,Alnus_firma,barks
8.344,2584,60303,Alnus_firma,barks
8.358,1699,63553,Alnus_firma,barks
8.371,1786,64233,Alnus_firma,barks
8.385,2120,66427,Alnus_firma,barks
8.398,1528,62640,Alnus_firma,barks
8.412,2375,64899,Alnus_firma,barks
8.431,2131,64384,Alnus_firma,barks
8.445,2255,58150,Alnus_firma,barks
8.458,2029,55908,Alnus_firma,barks
8.472,1651,62881,Alnus_firma,barks
8.485,2253,62853,Alnus_firma,barks
8.498,2490,65740,Alnus_firma,barks
8.512,4028,69962,Alnus_firma,barks
8.541,8779,77740,Alnus_firma,barks
8.565,4694,67618,Alnus_firma,barks
8.588,2762,71637,Alnus_firma,barks
8.612,1660,69047,Alnus_firma,barks
8.641,2655,66939,Alnus_firma,barks
8.655,1804,61656,Alnus_firma,barks
8.668,1761,60974,Alnus_firma,barks
8.682,2293,64678,Alnus_firma,barks
8.705,2041,63827,Alnus_firma,barks
8.724,1597,59298,Alnus_firma,barks
8.738,1918,58566,Alnus_firma,barks
8.751,2426,64231,Alnus_firma,barks
8.765,1718,60797,Alnus_firma,barks
8.788,2188,61003,Alnus_firma,barks
8.818,1760,59652,Alnus_firma,barks
8.831,2276,60353,Alnus_firma,barks
8.845,1956,60507,Alnus_firma,barks
8.868,1960,63252,Alnus_firma,barks
8.882,2034,59132,Alnus_firma,barks
8.895,2208,59457,Alnus_firma,barks
8.925,2353,57108,Alnus_firma,barks
8.938,1813,58780,Alnus_firma,barks
8.962,2171,61948,Alnus_firma,barks
8.975,1626,62751,Alnus_firma,barks
8.989,17365,85047,Alnus_firma,barks
9.018,139216,298992,Alnus_firma,barks
9.052,142480,295985,Alnus_firma,barks
9.085,53764,148603,Alnus_firma,barks
9.124,17374,101942,Alnus_firma,barks
9.158,6221,74078,Alnus_firma,barks
9.197,1961,62903,Alnus_firma,barks
9.231,2110,59906,Alnus_firma,barks
9.244,1765,66460,Alnus_firma,barks
9.258,1730,65518,Alnus_firma,barks
9.287,2126,76330,Alnus_firma,barks
9.311,1469,61150,Alnus_firma,barks
9.314,2244,65371,Alnus_firma,barks
9.338,1877,63931,Alnus_firma,barks
9.351,4051,67146,Alnus_firma,barks
9.391,64788,166639,Alnus_firma,barks
9.424,51444,141181,Alnus_firma,barks
9.458,16113,87146,Alnus_firma,barks
9.487,5690,73513,Alnus_firma,barks
9.52,2449,69203,Alnus_firma,barks
9.554,4401,68054,Alnus_firma,barks
9.593,1939,65128,Alnus_firma,barks
9.607,1995,66089,Alnus_firma,barks
9.63,2099,61277,Alnus_firma,barks
9.654,2212,68913,Alnus_firma,barks
9.693,2465,69093,Alnus_firma,barks
9.717,2161,62105,Alnus_firma,barks
9.74,1637,54521,Alnus_firma,barks
9.759,2471,70369,Alnus_firma,barks
